,Dialogue,score,sentiment
50,"Baggage claim?
",0.0,0.0
51,"I'm telling U. She went to the airport,
",0.0,0.0
52,"and she's gonna go for it with Ross.
",0.0,0.0
53,"Oh, my God! This is huge!
",0.5000000000000001,0.9
54,"This is bigger than huge.
",0.20000000000000004,0.7
55,"This is...
",0.0,0.0
56,"All right, what's bigger than huge?
",0.22857142857142856,0.6452380952380952
57,"This?
",0.0,0.0
58,"Guys, you got new haircuts!
",0.17045454545454544,0.45454545454545453
59,"Yes, we did.
",0.0,0.0
60,"Thanks to Vidal Buffay.
",0.2,0.2
61,"Because, you know, ""If you don't
",0.0,0.0
62,"look good, we don't look good.""
",0.7,0.6000000000000001
63,"I love that voice!
",0.625,0.6
64,"And the winner is Eva Godna!
",0.0,0.0
65,"Airport. Airport. Ross.
",0.0,0.0
66,"Not alone.
",0.0,0.0
67,"Julie.
",0.0,0.0
68,"Arm around her!
",0.0,0.0
69,"Cramp! Cramp! Cramp!
",0.0,0.0
70,"I think she's trying
",0.0,0.0
71,"to tell us something.
",0.0,0.0
72,"Quick, get the verbs.
",0.3333333333333333,0.5
73,"You! You!
",0.0,0.0
74,"You said he liked me!
",0.75,0.8
75,"You!
",0.0,0.0
76,"You slowpokes!
",0.0,0.0
77,"That's all right.
",0.2857142857142857,0.5357142857142857
78,"We got the bags.
",0.0,0.0
79,"This is my sister, Monica.
",0.0,0.0
80,"This is Chandler.
",0.0,0.0
81,"Phoebe, hi.
",0.0,0.0
82,"Joey.
",0.0,0.0
83,"Everyone, this is Julie.
",0.0,0.0
84,"Julie.
",0.0,0.0
85,"But I'm not here,
",0.0,0.0
86,"you haven't met me.
",0.0,0.0
87,"I'll make a better impression when
",0.5,0.5
88,"I don't have 20 hours of plane on me.
",0.0,0.0
89,"- And bus.
",0.0,0.0
90,"- Oh, my God!
",0.0,0.0
91,"- With the screaming guy
",0.0,0.0
92,"- And the spitting.
",0.0,0.0
93,"You gotta hear this story.
",0.0,0.0
94,"We're on this bus
",0.0,0.0
95,"that's 200 years old.
",0.1,0.2
96,"Two hundred, at least.
",-0.3,0.4
97,"And the chicken poops in her lap!
",-0.75,0.95
98,"I'm so sorry.
",-0.5,1.0
99,"I just gave away the ending, didn't I?
",0.0,0.0
100,"I just heard this story in the cab...
",0.0,0.0
101,"...and it is all I can think about.
",0.0,0.0
102,"This is amazing.
",0.6000000000000001,0.9
103,"How did this happen?
",0.0,0.0
104,"We were in grad school together.
",0.0,0.0
105,"We haven't seen each other since then.
",-0.125,0.375
106,"I land in China...
",0.0,0.0
107,"...guess who's in charge of the dig?
",0.0,0.0
108,"Julie!
",0.0,0.0
109,"Isn't that great?
",0.8,0.75
110,"Isn't that just kick-you-in-the-crotch,
",0.0,0.0
111,"spit-on-your-neck fantastic?
",0.4,0.9
112,"It's an expression.
",0.0,0.0
113,"We just wanted to say a quick hi.
",0.3333333333333333,0.5
114,"- Then we'll see the baby.
",0.0,0.0
115,"- Then get some sleep.
",0.0,0.0
116,"It's 6:00 tomorrow night, our time.
",0.0,0.0
117,"Don't tell us what's gonna happen.
",0.0,0.0
118,"I like being surprised.
",0.1,0.9
119,"Bye!
",0.0,0.0
120,"- Can I get some coffee?
",0.0,0.0
121,"- Sure.
",0.5,0.8888888888888888
122,"- Did you talk to him yet?
",0.0,0.0
123,"- No.
",0.0,0.0
124,"Then, no.
",0.0,0.0
125,"What the hell happened to you in China?
",0.0,0.0
126,"When last we left you,
",0.0,0.03333333333333333
127,"you were in love with, you know.
",0.5,0.6
128,"I know I was.
",0.0,0.0
129,"But there was always this voice
",0.0,0.0
130,"inside that kept saying:
",0.0,0.0
131,"""It's never gonna happen. Move on.""
",0.0,0.0
132,"You know whose voice that was?
",0.0,0.0
133,"God?
",0.0,0.0
134,"It was you, pal.
",0.0,0.0
135,"Maybe it was God doing me.
",0.0,0.0
136,"You were right. She looks at me
",0.2857142857142857,0.5357142857142857
137,"and sees a friend. That's all.
",0.0,0.0
138,"And then I met Julie...
",0.0,0.0
139,"...and we're having a great time.
",0.8,0.75
140,"I never would have gone for it,
",0.0,0.0
141,"if it hadn't been for you.
",0.0,0.0
142,"Well, you owe me one, big guy.
",0.0,0.1
143,"Your lemonade.
",0.0,0.0
144,"I didn't order it.
",0.0,0.0
145,"Then go take that back.
",0.0,0.0
146,"They'll charge you for that.
",0.0,0.0
147,"Go, go, go! Come on, come on!
",0.0,0.0
148,"So what did you find out?
",0.0,0.0
149,"He said...
",0.0,0.0
150,"He said...
",0.0,0.0
151,"They're having a great time.
",0.8,0.75
152,"I'm sorry.
",-0.5,1.0
153,"But the silver lining,
",0.0,0.0
154,"if you wanna see it...
",0.0,0.0
155,"...is that he made this decision
",0.0,0.0
156,"all by himself...
",0.0,0.0
157,"...without any outside help whatsoever.
",0.0,0.05
158,"How is that a silver lining?
",0.0,0.0
159,"You have to really wanna see it.
",0.2,0.2
160,"Ironically, these guys
",0.0,0.0
161,"were picked last in gym.
",0.0,0.06666666666666667
162,"Hey, Pheebs.
",0.0,0.0
163,"You know what I'm thinking?
",0.0,0.0
164,"How...
",0.0,0.0
165,"...it's been so long
",-0.05,0.4
166,"since you've had sex...
",0.0,0.0
167,"...you're wondering
",0.0,0.0
168,"if they've changed it?
",0.0,0.0
169,"No. Although now
",0.0,0.0
170,"that's what I'm thinking.
",0.0,0.0
171,"So what were you thinking?
",0.0,0.0
172,"You gave the guys great haircuts.
",0.8,0.75
173,"I thought you'd like to do mine.
",0.0,0.0
174,"No.
",0.0,0.0
175,"Why not?
",0.0,0.0
176,"Because I'm just...
",0.0,0.0
177,"I'm incredibly anal and
",0.9,0.9
178,"an unbelievable control freak.
",-0.25,1.0
179,"No, you're not.
",0.0,0.0
180,"I know I'm not, but you are.
",0.0,0.0
181,"I was trying to spare your feelings.
",0.0,0.0
182,"Hold on.
",0.0,0.0
183,"Ross, Julie for you.
",0.0,0.0
184,"Anybody know a good tailor?
",0.7,0.6000000000000001
185,"You need clothes altered?
",0.0,0.0
186,"No, I'm just looking for a man
",0.0,0.0
187,"to draw on me with chalk.
",0.0,0.0
188,"Go see Frankie. My family's
",0.0,0.0
189,"been going to him forever.
",0.0,0.0
190,"He did my first suit when I was 15.
",0.25,0.3333333333333333
191,"No, wait, 16.
",0.0,0.0
192,"No, excuse me, 15.
",0.025,0.05
193,"All right, when was 1990?
",0.2857142857142857,0.5357142857142857
194,"You have to stop the Q-Tip
",0.0,0.0
195,"when there's resistance!
",0.0,0.0
196,"Sweetheart, I'll see you later.
",0.0,0.0
197,"Okay, bye.
",0.5,0.5
198,"That is so sweet.
",0.35,0.65
199,"Okay. No, you hang up.
",0.5,0.5
200,"No, you
",0.0,0.0
201,"One, two, three.
",0.0,0.0
202,"You didn't hang up either.
",0.0,0.0
203,"She didn't hang up.
",0.0,0.0
204,"No, you hang up.
",0.0,0.0
205,"You. You.
",0.0,0.0
206,"Sorry, I thought
",-0.5,1.0
207,"you were talking to me.
",0.0,0.0
208,"Rachel.
",0.0,0.0
209,"I'll just call her back.
",0.0,0.0
210,"Hi, sweetie. I'm sorry.
",-0.5,1.0
211,"We got disconnected.
",0.0,0.0
212,"No, you hang up.
",0.0,0.0
213,"How did this happen to me?
",0.0,0.0
214,"A week ago, two weeks ago, I was fine.
",0.4166666666666667,0.5
215,"Ross was just Ross. Just this guy.
",0.0,0.0
216,"Now all of a sudden, he's Ross...
",0.0,0.5
217,"...this really great guy
",0.8,0.75
218,"that I can't have.
",0.0,0.0
219,"Sweetie, I wanted you to have him too.
",0.0,0.0
220,"I know you did.
",0.0,0.0
221,"I'm just gonna deal with it.
",0.0,0.0
222,"I gotta get out of here!
",0.0,0.0
223,"I don't care what you guys say,
",0.0,0.0
224,"something's bothering her.
",0.0,0.0
225,"You know, I think I was 16.
",0.0,0.0
226,"Please, just a little bit off the back.
",-0.09375,0.25
227,"I'm still on ""no.""
",0.0,0.0
228,"Morning.
",0.0,0.0
229,"Could you close your eyes for a sec?
",-0.1,0.6
230,"No, no, no. I'm not
",0.0,0.0
231,"falling for that again.
",0.0,0.0
232,"What's going on?
",0.0,0.0
233,"I sort of did a stupid
",-0.7999999999999999,1.0
234,"thing last night.
",0.0,0.06666666666666667
235,"What stupid thing did you do?
",-0.7999999999999999,1.0
236,"Why don't you just go get dressed...
",0.0,0.0
237,"...then you'll be on your way.
",0.0,0.0
238,"Bye-bye.
",0.0,0.0
239,"How did this happen?
",0.0,0.0
240,"I kind of ran into him last night.
",0.3,0.48333333333333334
241,"- Where?
",0.0,0.0
242,"- At his apartment.
",0.0,0.0
243,"Is this juice?
",0.0,0.0
244,"And the fact that you dumped him
",0.0,0.0
245,"because he hit on Phoebe?
",0.0,0.0
246,"Oh, God, I know.
",0.0,0.0
247,"I'm pathetic, I'm a loser.
",-1.0,1.0
248,"Honey, you're not pathetic.
",0.5,1.0
249,"You're just sad.
",-0.5,1.0
250,"People do stupid things
",-0.7999999999999999,1.0
251,"when they're upset.
",0.0,0.0
252,"My God, if I had a nickel
",0.0,0.0
253,"for every guy I wish I hadn't
",0.0,0.0
254,"But this is about
",0.0,0.0
255,"your horrible mistake.
",-1.0,1.0
256,"Sorry we're late.
",-0.4,0.8
257,"We were...
",0.0,0.0
258,"Well, there was touching.
",0.5,0.5
259,"Hey, Ross!
",0.0,0.0
260,"What a...
",0.0,0.0
261,"What are you doing here?
",0.0,0.0
262,"I do Raquel!
",0.0,0.0
263,"So he's back?
",0.0,0.0
264,"Yeah, he's back.
",0.0,0.0
265,"Is that a problem?
",0.0,0.0
266,"No, not a problem.
",0.0,0.0
267,"Good. Glad it's not a problem.
",0.6,0.8
268,"You're gonna have to not touch my ass.
",0.0,0.0
269,"Despite the yummy bagels
",0.0,0.0
270,"and palpable tension...
",0.0,0.5
271,"...my pants need to be altered.
",0.0,0.0
272,"When you see Frankie,
",0.0,0.0
273,"tell him Joey Tribbiani says hello.
",0.0,0.0
274,"He'll know what it means.
",0.0,0.0
275,"You sure he'll crack that code?
",0.5,0.8888888888888888
276,"It's funny. The last time Paolo
",0.125,0.5333333333333333
277,"was here, my hair was so much cuter.
",0.2,0.2
278,"All right.
",0.2857142857142857,0.5357142857142857
279,"But you have to promise that you
",0.0,0.0
280,"will not be all controlly and bossy...
",0.0,0.0
281,"...and all Monica about it.
",0.0,0.0
282,"I promise.
",0.0,0.0
283,"All right, let's see.
",0.2857142857142857,0.5357142857142857
284,"Now, some of you are gonna get cut
",0.0,0.0
285,"and some of you aren't.
",0.0,0.0
286,"But I promise, none of you
",0.0,0.0
287,"will feel a thing.
",0.0,0.0
288,"- That's it. I quit.
",0.0,0.0
289,"- What? I didn't say anything!
",0.0,0.0
290,"But this isn't the face of
",0.0,0.0
291,"a person who trusts a person.
",0.0,0.0
292,"This is the face of
",0.0,0.0
293,"a person who, you know...
",0.0,0.0
294,"...doesn't trust a person.
",0.0,0.0
295,"I'm sorry. I'm sorry.
",-0.5,1.0
296,"It's just a little shorter
",-0.1875,0.5
297,"than what we had discussed.
",0.0,0.0
298,"Would you relax?
",0.0,0.0
299,"I know what I am doing.
",0.0,0.0
300,"This is how he wears it.
",0.0,0.0
301,"How who wears it?
",0.0,0.0
302,"Demi Moore.
",0.0,0.0
303,"Demi Moore is not a ""he.""
",0.0,0.0
304,"Well, he was a ""he""
",0.0,0.0
305,"in Arthur and in 10.
",0.0,0.0
306,"That's Dudley Moore!
",0.0,0.0
307,"I said I wanted it like Demi Moore!
",0.0,0.0
308,"Oh, my God!
",0.0,0.0
309,"Oh, God!
",0.0,0.0
310,"Oh, my God! I'm sorry!
",-0.625,1.0
311,"Which one is Demi Moore?
",0.0,0.0
312,"She's the actress that was in
",0.0,0.0
313,"Disclosure, Indecent Proposal, Ghost!
",0.0,0.0
314,"She's got gorgeous hair.
",0.7,0.9
315,"I know!
",0.0,0.0
316,"How long do you want the cuffs?
",-0.05,0.4
317,"At least as long as I have the pants.
",-0.175,0.4
318,"I just got that.
",0.0,0.0
319,"Now we'll do your inseam.
",0.0,0.0
320,"How is she?
",0.0,0.0
321,"It's too soon to tell.
",0.0,0.0
322,"She's resting, which is a good sign.
",0.7,0.6000000000000001
323,"How's the hair?
",0.0,0.0
324,"I'm not gonna lie to you.
",0.0,0.0
325,"It doesn't look good.
",0.7,0.6000000000000001
326,"I put a clip on one side, which seems
",0.0,0.0
327,"to have stopped the curling.
",0.0,0.0
328,"Can we see her?
",0.0,0.0
329,"Your hair looks too good.
",0.7,0.6000000000000001
330,"It'd upset her.
",0.0,0.0
331,"Ross, you come on in.
",0.0,0.0
332,"Well, how you doing?
",0.0,0.0
333,"I'm okay.
",0.5,0.5
334,"That bad, huh?
",-0.6999999999999998,0.6666666666666666
335,"Look, I can sense when women
",0.0,0.0
336,"are depressed and vulnerable.
",-0.5,0.5
337,"It's one of my gifts.
",0.0,0.0
338,"Joey, when I saw him
",0.0,0.0
339,"get off that plane with her...
",0.0,0.0
340,"...I really thought
",0.2,0.2
341,"I just hit rock bottom.
",0.0,0.0
342,"But today, it's like
",0.0,0.0
343,"there's rock bottom...
",0.0,0.0
344,"...50 feet of crap...
",-0.8,0.8
345,"...then me.
",0.0,0.0
346,"Tell Ross how you feel.
",0.0,0.0
347,"Come on, how can I just tell him?
",0.0,0.0
348,"What about Julie?
",0.0,0.0
349,"What about her? They've only
",0.0,1.0
350,"been going out for two weeks.
",0.0,0.0
351,"Ross has been in love
",0.5,0.6
352,"with you for 10 years.
",0.0,0.0
353,"I don't know. I don't know.
",0.0,0.0
354,"I've been with my share of women.
",0.0,0.0
355,"I've been with a lot
",0.0,0.0
356,"of people's share of women.
",0.0,0.0
357,"But the point is...
",0.0,0.0
358,"...I've never felt about anyone
",0.0,0.0
359,"the way Ross felt about you.
",0.0,0.0
360,"Really?
",0.2,0.2
361,"Yo, paisan!
",0.0,0.0
362,"Can I talk to you for a sec?
",-0.1,0.6
363,"Your tailor...
",0.0,0.0
364,"...is a very bad man!
",-1.0,0.8666666666666667
365,"What are you talking about?
",0.0,0.0
366,"Hey, what's going on?
",0.0,0.0
367,"Joey's tailor...
",0.0,0.0
368,"...took advantage of me.
",0.0,0.0
369,"No way! I've been going
",0.0,0.0
370,"to the guy for 12 years.
",0.0,0.0
371,"He said he was gonna do my inseam.
",0.0,0.0
372,"Then he ran his hand up my leg
",0.0,0.0
373,"and then there was definite
",0.0,0.5
374,"What?
",0.0,0.0
375,"Cupping.
",0.0,0.0
376,"That's how they do pants!
",0.0,0.0
377,"First they go up one side,
",0.25,0.3333333333333333
378,"they move it over.
",0.0,0.0
379,"Then they go up the other side,
",-0.125,0.375
380,"move it back, then they do the rear.
",0.0,0.0
381,"Ross, tell him. Isn't that
",0.0,0.0
382,"how a tailor measures pants?
",0.0,0.0
383,"Yes, yes, it is.
",0.0,0.0
384,"In prison!
",0.0,0.0
385,"What's the matter with you?
",0.0,0.0
386,"What?
",0.0,0.0
387,"That's not?
",0.0,0.0
388,"Oh, my God!
",0.0,0.0
389,"Even Mary Tyler Moore
",0.0,0.0
390,"would've been better.
",0.5,0.5
391,"I like it.
",0.0,0.0
392,"I do. I think it's a 10!
",0.0,0.0
393,"Thank you.
",0.0,0.0
394,"My hair is very amused.
",0.2,0.3
395,"Come on, things could be worse.
",-0.4,0.6
396,"You could ""get caught between
",0.0,0.0
397,"the moon and New York City.
",0.13636363636363635,0.45454545454545453
398,"I know it's crazy, but it's true.""
",-0.125,0.775
399,"Thank you.
",0.0,0.0
400,"Well, I gotta go. Bye.
",0.0,0.0
401,"Bye, Rach!
",0.0,0.0
402,"Wait, are you leaving?
",0.0,0.0
403,"That's what I meant by ""bye.""
",0.0,0.0
404,"Can I talk to you for a sec?
",-0.1,0.6
405,"When the doctor does
",0.0,0.0
406,"that hernia test...
",0.0,0.0
407,"That's okay.
",0.5,0.5
408,"What's going on?
",0.0,0.0
409,"Well, okay, first of all...
",0.375,0.41666666666666663
410,"...Paolo and I are not back together.
",0.0,0.0
411,"That was a stupid thing I did.
",-0.7999999999999999,1.0
412,"If I could go back in time
",0.0,0.0
413,"and do it again...
",0.0,0.0
414,"...well, I wouldn't.
",0.0,0.0
415,"Second of all...
",0.0,0.0
416,"What?
",0.0,0.0
417,"Is this one of those things
",0.0,0.0
418,"where you break up with a guy...
",0.0,0.0
419,"...I tell you what I think...
",0.0,0.0
420,"...and the next day
",0.0,0.0
421,"you get back together with him...
",0.0,0.0
422,"...and I look like
",0.0,0.0
423,"a complete idiot?
",-0.35000000000000003,0.6000000000000001
424,"Well, then, I think the guy's scum.
",-0.3,0.4
425,"I hate him. I mean, I actually
",-0.37083333333333335,0.5625
426,"I physically hate him.
",-0.8,0.9
427,"I always have.
",0.0,0.0
428,"And you are way too good
",0.7,0.6000000000000001
429,"to be with a guy like that.
",0.0,0.0
430,"Really?
",0.2,0.2
431,"You deserve to be with someone
",0.0,0.0
432,"who appreciates you...
",0.0,0.0
433,"...and who gets how funny...
",0.25,1.0
434,"...and sweet and amazing...
",0.47500000000000003,0.775
435,"...and adorable and sexy you are.
",0.5,1.0
436,"You know? Someone who wakes up
",0.0,0.0
437,"every morning thinking:
",0.0,0.0
438,"""Oh, my God. I'm with Rachel!""
",0.0,0.0
439,"You know? Someone
",0.0,0.0
440,"who makes you feel good.
",0.7,0.6000000000000001
441,"Like the way I do with Julie.
",0.0,0.0
442,"Was there a ""second of all""?
",0.0,0.0
443,"No, I think that was the whole ""all.""
",0.2,0.4
444,"I gotta go.
",0.0,0.0
445,"Thanks.
",0.2,0.2
446,"No, I swear to God, Dad!
",0.0,0.0
447,"That's not how they measure pants!
",0.0,0.0
448,"I was thinking of doing it shorter,
",0.0,0.0
449,"like Andie MacDowell's haircut.
",0.0,0.0
450,"- Yeah, I could do that.
",0.0,0.0
451,"- Really?
",0.2,0.2
452,"- You wanna do it now?
",0.0,0.0
453,"- Great!
",1.0,0.75
454,"See you.
",0.0,0.0
455,"I just wanna make
",0.0,0.0
456,"really sure this time.
",0.5,0.8888888888888888
457,"Andie MacDowell is the girl from
",0.0,0.0
458,"Four Weddings and a Funeral, right?
",0.2857142857142857,0.5357142857142857
459,"No.
",0.0,0.0
460,"That's Roddy McDowall.
",0.0,0.0
461,"Andie MacDowell is the guy
",0.0,0.0
462,"from Planet of the Apes.
",0.0,0.0
463,"- Thank you.
",0.0,0.0
464,"- You're welcome.
",0.8,0.9
465,"<font color=""#ffff00"" size=14>www.tvsubtitles.net
",0.0,0.0
466,"These were unbelievely expensive
",-0.5,0.7
467,"and he'll grow out of them...
",0.0,0.0
468,"...in 20 minutes,
",0.0,0.0
469,"but I couldn't resist!
",0.0,0.0
470,"Look at these.
",0.0,0.0
471,"Hey, Ben.
",0.0,0.0
472,"""Just do it""!
",0.0,0.0
473,"Oh, my God!
",0.0,0.0
474,"Was that too much
",0.2,0.2
475,"pressure for him?
",0.0,0.0
476,"- Is he hungry already?
",0.0,0.0
477,"- I guess so.
",0.0,0.0
478,"You know, it's...
",0.0,0.0
479,"Something funny about sneakers.
",0.25,1.0
480,"I'll be right back.
",0.14285714285714285,0.26785714285714285
481,"I gotta get one too.
",0.0,0.0
482,"Hey, what are you guys doing?
",0.0,0.0
483,"We're just hanging out
",0.0,0.0
484,"by the spoons.
",0.0,0.0
485,"Ladle?
",0.0,0.0
486,"Will you guys grow up?
",0.0,0.0
487,"This is the most nature beautiful
",0.675,0.75
488,"thing in the world.
",0.0,0.0
489,"Yeah, we know.
",0.0,0.0
490,"But there's a baby sucking on it.
",0.0,0.0
491,"This is my son having lunch, okay?
",0.5,0.5
492,"It'll happen a lot, so get used to it.
",0.0,0.0
493,"If you're uncomfortable,
",-0.5,1.0
494,"just ask questions.
",0.0,0.0
495,"Carol's fine with it.
",0.4166666666666667,0.5
496,"Carol?
",0.0,0.0
497,"I'm wondering, could Joey ask you
",0.0,0.0
498,"a question about breast-feeding?
",0.0,0.0
499,"Sure.
",0.5,0.8888888888888888
500,"Does it hurt?
",0.0,0.0
501,"It did at first, but not anymore.
",0.25,0.3333333333333333
502,"Chandler?
",0.0,0.0
503,"So, how often can you do it?
",0.0,0.0
504,"As much as he needs.
",0.2,0.2
505,"Okay, I got one, I got one.
",0.5,0.5
506,"If he blows into one,
",0.0,0.0
507,"does the other one get bigger?
",-0.0625,0.4375
508,"The One With the Breast Milk
",0.0,0.0
509,"- Any muffins left?
",0.0,0.0
510,"- Yeah, I forget which ones.
",0.0,0.0
511,"You're busy, I'll get it.
",0.1,0.3
512,"- Anyone else want one?
",0.0,0.0
513,"- No, thanks.
",-0.1,0.2
514,"You're losing your apron.
",0.0,0.0
515,"Let me get it.
",0.0,0.0
516,"- There you go.
",0.0,0.0
517,"- Thank you.
",0.0,0.0
518,"What a bitch!
",0.0,0.0
519,"I have a friend at
",0.0,0.0
520,"Bloomingdale's who's quitting...
",0.0,0.0
521,"...and he wants to abuse his discount.
",0.2,0.1
522,"Anyone want to come
",0.0,0.0
523,"take advantage of it?
",0.0,0.0
524,"I have to take
",0.0,0.0
525,"my grandmother to the vet.
",0.0,0.0
526,"- I'll go with you.
",0.0,0.0
527,"- Great.
",0.8,0.75
528,"- Hi, honey.
",0.0,0.0
529,"- Hey, sweetums.
",0.0,0.0
530,"And hello to the rest.
",0.0,0.0
531,"You can't go shopping with her.
",0.0,0.0
532,"What about Rachel?
",0.0,0.0
533,"Will it be a problem?
",0.0,0.0
534,"You're going to
",0.0,0.0
535,"Bloomingdale's with Julie.
",0.0,0.0
536,"It's like cheating on Rachel
",0.0,0.0
537,"in her house of worship.
",0.0,0.0
538,"Monica, she will kill you.
",0.0,0.0
539,"She will kill you
",0.0,0.0
540,"like a dog in the street!
",0.0,0.0
541,"So Jules tells me you guys
",0.0,0.0
542,"are going shopping tomorrow.
",0.0,0.0
543,"It's actually not that big a deal.
",0.0,0.1
544,"It's a big deal to me.
",0.0,0.1
545,"This is great.
",0.8,0.75
546,"I really appreciate this.
",0.2,0.2
547,"You're welcome.
",0.8,0.9
548,"Bijan for men?
",0.0,0.0
549,"Bijan for men?
",0.0,0.0
550,"- Hey, Annabel.
",0.0,0.0
551,"- Hey, Joey.
",0.0,0.0
552,"Did you hear about the new guy?
",0.13636363636363635,0.45454545454545453
553,"Nobody knows his name. Me and
",0.0,0.0
554,"the girls call him ""The Hombre Man.""
",0.0,0.0
555,"Hombre?
",0.0,0.0
556,"What's he doing in my section?
",0.0,0.0
557,"I guess he doesn't know.
",0.0,0.0
558,"Well, he's gonna.
",0.0,0.0
559,"I'll see you a little later, okay?
",0.10416666666666667,0.3333333333333333
560,"Hey, how you doing?
",0.0,0.0
561,"Mornin'.
",0.0,0.0
562,"Listen, I know you're new...
",0.13636363636363635,0.45454545454545453
563,"...but it's understood
",0.0,0.0
564,"that everything...
",0.0,0.0
565,"...from young men's to
",0.1,0.4
566,"the escalator is my territory.
",0.0,0.0
567,"""Your territory""?
",0.0,0.0
568,"- Bijan for men?
",0.0,0.0
569,"- No, thanks.
",-0.1,0.2
570,"Hombre?
",0.0,0.0
571,"Yeah, all right.
",0.2857142857142857,0.5357142857142857
572,"You were saying?
",0.0,0.0
573,"Phoebe, listen. You were with me,
",0.0,0.0
574,"and we were shopping all day.
",0.0,0.0
575,"We shopped and we had lunch.
",0.0,0.0
576,"What did I have?
",0.0,0.0
577,"- You had a salad.
",0.0,0.0
578,"- No wonder I don't feel full.
",0.35,0.55
579,"Hi. What's up?
",0.0,0.0
580,"I went shopping with Monica
",0.0,0.0
581,"and I had a salad.
",0.0,0.0
582,"Good, Pheebs.
",0.7,0.6000000000000001
583,"What'd you buy?
",0.0,0.0
584,"We went shopping for...
",0.0,0.0
585,"For...
",0.0,0.0
586,"For fur.
",0.0,0.0
587,"You went shopping for fur?
",0.0,0.0
588,"And then I realized
",0.0,0.0
589,"that I'm against that.
",0.0,0.0
590,"So then we bought some...
",0.0,0.0
591,"Boobs.
",0.0,0.0
592,"You bought boobs?
",0.0,0.0
593,"Bras!
",0.0,0.0
594,"We bought bras!
",0.0,0.0
595,"We bought bras.
",0.0,0.0
596,"Bijan for men?
",0.0,0.0
597,"Bijan for men?
",0.0,0.0
598,"Bijan for...
",0.0,0.0
599,"Hey, Annabel.
",0.0,0.0
600,"I was wondering if after work
",0.0,0.0
601,"we could grab a cup of coffee?
",0.0,0.0
602,"Actually, I sort of have plans.
",0.0,0.1
603,"You ready, Annabel?
",0.2,0.5
604,"You bet.
",0.0,0.0
605,"Maybe some other time.
",-0.125,0.375
606,"It's not the first time I lost a girl
",0.25,0.3333333333333333
607,"to a cowboy spraying cologne.
",0.0,0.0
608,"Bijan for men?
",0.0,0.0
609,"Bijan for men!
",0.0,0.0
610,"And this is Funny Clown.
",0.25,1.0
611,"It's only for after his naps,
",0.0,1.0
612,"not before, or he won't sleep.
",0.0,0.0
613,"We've been through this before.
",0.0,0.0
614,"We have a good time.
",0.7,0.6000000000000001
615,"We laugh, we play.
",0.3,0.1
616,"It's like we're father and son.
",0.0,0.0
617,"Honey, relax.
",0.0,0.0
618,"Ross is great with him.
",0.8,0.75
619,"Don't look so surprised.
",0.1,0.9
620,"I'm a lovely person.
",0.5,0.75
621,"This is so cute!
",0.625,1.0
622,"I got that for him!
",0.0,0.0
623,"""My Mommies Love Me.""
",0.5,0.6
624,"That's clever.
",0.16666666666666666,0.8333333333333334
625,"Oh, hi, Jul...
",0.0,0.0
626,"Hi, Jew!
",0.0,0.0
627,"Okay, sure.
",0.5,0.6944444444444444
628,"That'd be great.
",0.8,0.75
629,"See you then. Bye.
",0.0,0.0
630,"Did you just say, ""Hi, Jew""?
",0.0,0.0
631,"Yes, I did.
",0.0,0.0
