,Dialogue,preprocess_txt,total_len,pos_count,neg_count,sentiment
77,"That's all right.
",['right'],1,1,0,1.0
78,"We got the bags.
","['got', 'bag']",2,0,0,0.0
79,"This is my sister, Monica.
","['sister', 'monica']",2,0,0,0.0
80,"This is Chandler.
",['chandler'],1,0,0,0.0
81,"Phoebe, hi.
","['phoebe', 'hi']",2,0,0,0.0
82,"Joey.
",['joey'],1,0,0,0.0
83,"Everyone, this is Julie.
","['everyone', 'julie']",2,0,0,0.0
84,"Julie.
",['julie'],1,0,0,0.0
85,"But I'm not here,
",[],0,0,0,
86,"you haven't met me.
",['met'],1,0,0,0.0
87,"I'll make a better impression when
","['make', 'better', 'impression']",3,1,0,0.33
88,"I don't have 20 hours of plane on me.
","['hour', 'plane']",2,0,0,0.0
89,"- And bus.
",['bus'],1,0,0,0.0
90,"- Oh, my God!
","['oh', 'god']",2,0,0,0.0
91,"- With the screaming guy
","['screaming', 'guy']",2,0,0,0.0
92,"- And the spitting.
",['spitting'],1,0,0,0.0
93,"You gotta hear this story.
","['got', 'ta', 'hear', 'story']",4,0,0,0.0
94,"We're on this bus
",['bus'],1,0,0,0.0
95,"that's 200 years old.
","['year', 'old']",2,0,0,0.0
96,"Two hundred, at least.
","['two', 'hundred', 'least']",3,0,0,0.0
97,"And the chicken poops in her lap!
","['chicken', 'poop', 'lap']",3,0,0,0.0
98,"I'm so sorry.
",['sorry'],1,0,1,-1.0
99,"I just gave away the ending, didn't I?
","['gave', 'away', 'ending']",3,0,0,0.0
100,"I just heard this story in the cab...
","['heard', 'story', 'cab']",3,0,0,0.0
101,"...and it is all I can think about.
",['think'],1,0,0,0.0
102,"This is amazing.
",['amazing'],1,1,0,1.0
103,"How did this happen?
",['happen'],1,0,0,0.0
104,"We were in grad school together.
","['grad', 'school', 'together']",3,0,0,0.0
105,"We haven't seen each other since then.
","['seen', 'since']",2,0,0,0.0
106,"I land in China...
","['land', 'china']",2,0,0,0.0
107,"...guess who's in charge of the dig?
","['guess', 'charge', 'dig']",3,0,0,0.0
108,"Julie!
",['julie'],1,0,0,0.0
109,"Isn't that great?
",['great'],1,1,0,1.0
110,"Isn't that just kick-you-in-the-crotch,
","['kick', 'crotch']",2,0,0,0.0
111,"spit-on-your-neck fantastic?
","['spit', 'neck', 'fantastic']",3,1,0,0.33
112,"It's an expression.
",['expression'],1,0,0,0.0
113,"We just wanted to say a quick hi.
","['wanted', 'say', 'quick', 'hi']",4,0,0,0.0
114,"- Then we'll see the baby.
","['see', 'baby']",2,0,0,0.0
115,"- Then get some sleep.
","['get', 'sleep']",2,0,0,0.0
116,"It's 6:00 tomorrow night, our time.
","['tomorrow', 'night', 'time']",3,0,0,0.0
117,"Don't tell us what's gonna happen.
","['tell', 'u', 'gon', 'na', 'happen']",5,0,0,0.0
118,"I like being surprised.
","['like', 'surprised']",2,1,0,0.5
119,"Bye!
",['bye'],1,0,0,0.0
120,"- Can I get some coffee?
","['get', 'coffee']",2,0,0,0.0
121,"- Sure.
",['sure'],1,0,0,0.0
122,"- Did you talk to him yet?
","['talk', 'yet']",2,0,0,0.0
123,"- No.
",[],0,0,0,
124,"Then, no.
",[],0,0,0,
125,"What the hell happened to you in China?
","['hell', 'happened', 'china']",3,0,1,-0.33
126,"When last we left you,
","['last', 'left']",2,0,0,0.0
127,"you were in love with, you know.
","['love', 'know']",2,1,0,0.5
128,"I know I was.
",['know'],1,0,0,0.0
129,"But there was always this voice
","['always', 'voice']",2,0,0,0.0
130,"inside that kept saying:
","['inside', 'kept', 'saying']",3,0,0,0.0
131,"""It's never gonna happen. Move on.""
","['never', 'gon', 'na', 'happen', 'move']",5,0,0,0.0
132,"You know whose voice that was?
","['know', 'whose', 'voice']",3,0,0,0.0
133,"God?
",['god'],1,0,0,0.0
134,"It was you, pal.
",['pal'],1,0,0,0.0
135,"Maybe it was God doing me.
","['maybe', 'god']",2,0,0,0.0
136,"You were right. She looks at me
","['right', 'look']",2,1,0,0.5
137,"and sees a friend. That's all.
","['see', 'friend']",2,0,0,0.0
138,"And then I met Julie...
","['met', 'julie']",2,0,0,0.0
139,"...and we're having a great time.
","['great', 'time']",2,1,0,0.5
140,"I never would have gone for it,
","['never', 'would', 'gone']",3,0,0,0.0
141,"if it hadn't been for you.
",[],0,0,0,
142,"Well, you owe me one, big guy.
","['well', 'owe', 'one', 'big', 'guy']",5,1,0,0.2
143,"Your lemonade.
",['lemonade'],1,0,0,0.0
144,"I didn't order it.
",['order'],1,0,0,0.0
145,"Then go take that back.
","['go', 'take', 'back']",3,0,0,0.0
146,"They'll charge you for that.
",['charge'],1,0,0,0.0
147,"Go, go, go! Come on, come on!
","['go', 'go', 'go', 'come', 'come']",5,0,0,0.0
148,"So what did you find out?
",['find'],1,0,0,0.0
149,"He said...
",['said'],1,0,0,0.0
150,"He said...
",['said'],1,0,0,0.0
151,"They're having a great time.
","['great', 'time']",2,1,0,0.5
152,"I'm sorry.
",['sorry'],1,0,1,-1.0
153,"But the silver lining,
","['silver', 'lining']",2,0,0,0.0
154,"if you wanna see it...
","['wan', 'na', 'see']",3,0,0,0.0
155,"...is that he made this decision
","['made', 'decision']",2,0,0,0.0
156,"all by himself...
",[],0,0,0,
157,"...without any outside help whatsoever.
","['without', 'outside', 'help', 'whatsoever']",4,0,0,0.0
158,"How is that a silver lining?
","['silver', 'lining']",2,0,0,0.0
159,"You have to really wanna see it.
","['really', 'wan', 'na', 'see']",4,0,0,0.0
160,"Ironically, these guys
","['ironically', 'guy']",2,0,1,-0.5
161,"were picked last in gym.
","['picked', 'last', 'gym']",3,0,0,0.0
162,"Hey, Pheebs.
","['hey', 'pheebs']",2,0,0,0.0
163,"You know what I'm thinking?
","['know', 'thinking']",2,0,0,0.0
164,"How...
",[],0,0,0,
165,"...it's been so long
",['long'],1,0,0,0.0
166,"since you've had sex...
","['since', 'sex']",2,0,0,0.0
167,"...you're wondering
",['wondering'],1,0,0,0.0
168,"if they've changed it?
",['changed'],1,0,0,0.0
169,"No. Although now
",['although'],1,0,0,0.0
170,"that's what I'm thinking.
",['thinking'],1,0,0,0.0
171,"So what were you thinking?
",['thinking'],1,0,0,0.0
172,"You gave the guys great haircuts.
","['gave', 'guy', 'great', 'haircut']",4,1,0,0.25
173,"I thought you'd like to do mine.
","['thought', 'like', 'mine']",3,1,0,0.33
174,"No.
",[],0,0,0,
175,"Why not?
",[],0,0,0,
176,"Because I'm just...
",[],0,0,0,
177,"I'm incredibly anal and
","['incredibly', 'anal']",2,1,0,0.5
178,"an unbelievable control freak.
","['unbelievable', 'control', 'freak']",3,0,2,-0.67
179,"No, you're not.
",[],0,0,0,
180,"I know I'm not, but you are.
",['know'],1,0,0,0.0
181,"I was trying to spare your feelings.
","['trying', 'spare', 'feeling']",3,0,0,0.0
182,"Hold on.
",['hold'],1,0,0,0.0
183,"Ross, Julie for you.
","['ross', 'julie']",2,0,0,0.0
184,"Anybody know a good tailor?
","['anybody', 'know', 'good', 'tailor']",4,1,0,0.25
185,"You need clothes altered?
","['need', 'clothes', 'altered']",3,0,0,0.0
186,"No, I'm just looking for a man
","['looking', 'man']",2,0,0,0.0
187,"to draw on me with chalk.
","['draw', 'chalk']",2,0,0,0.0
188,"Go see Frankie. My family's
","['go', 'see', 'frankie', 'family']",4,0,0,0.0
189,"been going to him forever.
","['going', 'forever']",2,0,0,0.0
190,"He did my first suit when I was 15.
","['first', 'suit']",2,0,0,0.0
191,"No, wait, 16.
",['wait'],1,0,0,0.0
192,"No, excuse me, 15.
",['excuse'],1,0,1,-1.0
193,"All right, when was 1990?
",['right'],1,1,0,1.0
194,"You have to stop the Q-Tip
","['stop', 'q', 'tip']",3,0,0,0.0
195,"when there's resistance!
",['resistance'],1,0,1,-1.0
196,"Sweetheart, I'll see you later.
","['sweetheart', 'see', 'later']",3,1,0,0.33
197,"Okay, bye.
","['okay', 'bye']",2,0,0,0.0
198,"That is so sweet.
",['sweet'],1,1,0,1.0
199,"Okay. No, you hang up.
","['okay', 'hang']",2,0,1,-0.5
200,"No, you
",[],0,0,0,
201,"One, two, three.
","['one', 'two', 'three']",3,0,0,0.0
202,"You didn't hang up either.
","['hang', 'either']",2,0,1,-0.5
203,"She didn't hang up.
",['hang'],1,0,1,-1.0
204,"No, you hang up.
",['hang'],1,0,1,-1.0
205,"You. You.
",[],0,0,0,
206,"Sorry, I thought
","['sorry', 'thought']",2,0,1,-0.5
207,"you were talking to me.
",['talking'],1,0,0,0.0
208,"Rachel.
",['rachel'],1,0,0,0.0
209,"I'll just call her back.
","['call', 'back']",2,0,0,0.0
210,"Hi, sweetie. I'm sorry.
","['hi', 'sweetie', 'sorry']",3,0,1,-0.33
211,"We got disconnected.
","['got', 'disconnected']",2,0,0,0.0
212,"No, you hang up.
",['hang'],1,0,1,-1.0
213,"How did this happen to me?
",['happen'],1,0,0,0.0
214,"A week ago, two weeks ago, I was fine.
","['week', 'ago', 'two', 'week', 'ago', 'fine']",6,1,0,0.17
215,"Ross was just Ross. Just this guy.
","['ross', 'ross', 'guy']",3,0,0,0.0
216,"Now all of a sudden, he's Ross...
","['sudden', 'ross']",2,0,0,0.0
217,"...this really great guy
","['really', 'great', 'guy']",3,1,0,0.33
218,"that I can't have.
",[],0,0,0,
219,"Sweetie, I wanted you to have him too.
","['sweetie', 'wanted']",2,0,0,0.0
220,"I know you did.
",['know'],1,0,0,0.0
221,"I'm just gonna deal with it.
","['gon', 'na', 'deal']",3,0,0,0.0
222,"I gotta get out of here!
","['got', 'ta', 'get']",3,0,0,0.0
223,"I don't care what you guys say,
","['care', 'guy', 'say']",3,0,0,0.0
224,"something's bothering her.
","['something', 'bothering']",2,0,1,-0.5
225,"You know, I think I was 16.
","['know', 'think']",2,0,0,0.0
226,"Please, just a little bit off the back.
","['please', 'little', 'bit', 'back']",4,1,1,0.0
227,"I'm still on ""no.""
",['still'],1,0,0,0.0
228,"Morning.
",['morning'],1,0,0,0.0
229,"Could you close your eyes for a sec?
","['could', 'close', 'eye', 'sec']",4,0,0,0.0
230,"No, no, no. I'm not
",[],0,0,0,
231,"falling for that again.
",['falling'],1,0,1,-1.0
232,"What's going on?
",['going'],1,0,0,0.0
233,"I sort of did a stupid
","['sort', 'stupid']",2,0,1,-0.5
234,"thing last night.
","['thing', 'last', 'night']",3,0,0,0.0
235,"What stupid thing did you do?
","['stupid', 'thing']",2,0,1,-0.5
236,"Why don't you just go get dressed...
","['go', 'get', 'dressed']",3,0,0,0.0
237,"...then you'll be on your way.
",['way'],1,0,0,0.0
238,"Bye-bye.
","['bye', 'bye']",2,0,0,0.0
239,"How did this happen?
",['happen'],1,0,0,0.0
240,"I kind of ran into him last night.
","['kind', 'ran', 'last', 'night']",4,0,0,0.0
241,"- Where?
",[],0,0,0,
242,"- At his apartment.
",['apartment'],1,0,0,0.0
243,"Is this juice?
",['juice'],1,0,0,0.0
244,"And the fact that you dumped him
","['fact', 'dumped']",2,0,1,-0.5
245,"because he hit on Phoebe?
","['hit', 'phoebe']",2,0,0,0.0
246,"Oh, God, I know.
","['oh', 'god', 'know']",3,0,0,0.0
247,"I'm pathetic, I'm a loser.
","['pathetic', 'loser']",2,0,2,-1.0
248,"Honey, you're not pathetic.
","['honey', 'pathetic']",2,0,1,-0.5
249,"You're just sad.
",['sad'],1,0,1,-1.0
250,"People do stupid things
","['people', 'stupid', 'thing']",3,0,1,-0.33
251,"when they're upset.
",['upset'],1,0,1,-1.0
252,"My God, if I had a nickel
","['god', 'nickel']",2,0,0,0.0
253,"for every guy I wish I hadn't
","['every', 'guy', 'wish']",3,0,0,0.0
254,"But this is about
",[],0,0,0,
255,"your horrible mistake.
","['horrible', 'mistake']",2,0,2,-1.0
256,"Sorry we're late.
","['sorry', 'late']",2,0,1,-0.5
257,"We were...
",[],0,0,0,
258,"Well, there was touching.
","['well', 'touching']",2,1,0,0.5
259,"Hey, Ross!
","['hey', 'ross']",2,0,0,0.0
260,"What a...
",[],0,0,0,
261,"What are you doing here?
",[],0,0,0,
262,"I do Raquel!
",['raquel'],1,0,0,0.0
263,"So he's back?
",['back'],1,0,0,0.0
264,"Yeah, he's back.
","['yeah', 'back']",2,0,0,0.0
265,"Is that a problem?
",['problem'],1,0,1,-1.0
266,"No, not a problem.
",['problem'],1,0,1,-1.0
267,"Good. Glad it's not a problem.
","['good', 'glad', 'problem']",3,2,1,0.33
268,"You're gonna have to not touch my ass.
","['gon', 'na', 'touch', 'as']",4,1,1,0.0
269,"Despite the yummy bagels
","['despite', 'yummy', 'bagel']",3,0,0,0.0
270,"and palpable tension...
","['palpable', 'tension']",2,0,1,-0.5
271,"...my pants need to be altered.
","['pant', 'need', 'altered']",3,0,0,0.0
272,"When you see Frankie,
","['see', 'frankie']",2,0,0,0.0
273,"tell him Joey Tribbiani says hello.
","['tell', 'joey', 'tribbiani', 'say', 'hello']",5,0,0,0.0
274,"He'll know what it means.
","['know', 'mean']",2,1,1,0.0
275,"You sure he'll crack that code?
","['sure', 'crack', 'code']",3,0,1,-0.33
276,"It's funny. The last time Paolo
","['funny', 'last', 'time', 'paolo']",4,0,1,-0.25
277,"was here, my hair was so much cuter.
","['hair', 'much', 'cuter']",3,0,0,0.0
278,"All right.
",['right'],1,1,0,1.0
279,"But you have to promise that you
",['promise'],1,1,0,1.0
280,"will not be all controlly and bossy...
","['controlly', 'bossy']",2,0,0,0.0
281,"...and all Monica about it.
",['monica'],1,0,0,0.0
282,"I promise.
",['promise'],1,1,0,1.0
283,"All right, let's see.
","['right', 'let', 'see']",3,1,0,0.33
284,"Now, some of you are gonna get cut
","['gon', 'na', 'get', 'cut']",4,0,0,0.0
285,"and some of you aren't.
",[],0,0,0,
286,"But I promise, none of you
","['promise', 'none']",2,1,0,0.5
287,"will feel a thing.
","['feel', 'thing']",2,0,0,0.0
288,"- That's it. I quit.
",['quit'],1,0,0,0.0
289,"- What? I didn't say anything!
","['say', 'anything']",2,0,0,0.0
290,"But this isn't the face of
",['face'],1,0,0,0.0
291,"a person who trusts a person.
","['person', 'trust', 'person']",3,1,0,0.33
292,"This is the face of
",['face'],1,0,0,0.0
293,"a person who, you know...
","['person', 'know']",2,0,0,0.0
294,"...doesn't trust a person.
","['trust', 'person']",2,1,0,0.5
295,"I'm sorry. I'm sorry.
","['sorry', 'sorry']",2,0,2,-1.0
296,"It's just a little shorter
","['little', 'shorter']",2,0,0,0.0
297,"than what we had discussed.
",['discussed'],1,0,0,0.0
298,"Would you relax?
","['would', 'relax']",2,0,0,0.0
299,"I know what I am doing.
",['know'],1,0,0,0.0
300,"This is how he wears it.
",['wear'],1,0,0,0.0
301,"How who wears it?
",['wear'],1,0,0,0.0
302,"Demi Moore.
","['demi', 'moore']",2,0,0,0.0
303,"Demi Moore is not a ""he.""
","['demi', 'moore']",2,0,0,0.0
304,"Well, he was a ""he""
",['well'],1,1,0,1.0
305,"in Arthur and in 10.
",['arthur'],1,0,0,0.0
306,"That's Dudley Moore!
","['dudley', 'moore']",2,0,0,0.0
307,"I said I wanted it like Demi Moore!
","['said', 'wanted', 'like', 'demi', 'moore']",5,1,0,0.2
308,"Oh, my God!
","['oh', 'god']",2,0,0,0.0
309,"Oh, God!
","['oh', 'god']",2,0,0,0.0
310,"Oh, my God! I'm sorry!
","['oh', 'god', 'sorry']",3,0,1,-0.33
311,"Which one is Demi Moore?
","['one', 'demi', 'moore']",3,0,0,0.0
312,"She's the actress that was in
",['actress'],1,0,0,0.0
313,"Disclosure, Indecent Proposal, Ghost!
","['disclosure', 'indecent', 'proposal', 'ghost']",4,0,1,-0.25
314,"She's got gorgeous hair.
","['got', 'gorgeous', 'hair']",3,1,0,0.33
315,"I know!
",['know'],1,0,0,0.0
316,"How long do you want the cuffs?
","['long', 'want', 'cuff']",3,0,0,0.0
317,"At least as long as I have the pants.
","['least', 'long', 'pant']",3,0,0,0.0
318,"I just got that.
",['got'],1,0,0,0.0
319,"Now we'll do your inseam.
",['inseam'],1,0,0,0.0
320,"How is she?
",[],0,0,0,
321,"It's too soon to tell.
","['soon', 'tell']",2,0,0,0.0
322,"She's resting, which is a good sign.
","['resting', 'good', 'sign']",3,1,0,0.33
323,"How's the hair?
",['hair'],1,0,0,0.0
324,"I'm not gonna lie to you.
","['gon', 'na', 'lie']",3,0,1,-0.33
325,"It doesn't look good.
","['look', 'good']",2,1,0,0.5
326,"I put a clip on one side, which seems
","['put', 'clip', 'one', 'side', 'seems']",5,0,0,0.0
327,"to have stopped the curling.
","['stopped', 'curling']",2,0,0,0.0
328,"Can we see her?
",['see'],1,0,0,0.0
329,"Your hair looks too good.
","['hair', 'look', 'good']",3,1,0,0.33
330,"It'd upset her.
",['upset'],1,0,1,-1.0
331,"Ross, you come on in.
","['ross', 'come']",2,0,0,0.0
332,"Well, how you doing?
",['well'],1,1,0,1.0
333,"I'm okay.
",['okay'],1,0,0,0.0
334,"That bad, huh?
","['bad', 'huh']",2,0,1,-0.5
335,"Look, I can sense when women
","['look', 'sense', 'woman']",3,0,0,0.0
336,"are depressed and vulnerable.
","['depressed', 'vulnerable']",2,0,2,-1.0
337,"It's one of my gifts.
","['one', 'gift']",2,0,0,0.0
338,"Joey, when I saw him
","['joey', 'saw']",2,0,0,0.0
339,"get off that plane with her...
","['get', 'plane']",2,0,0,0.0
340,"...I really thought
","['really', 'thought']",2,0,0,0.0
341,"I just hit rock bottom.
","['hit', 'rock', 'bottom']",3,0,0,0.0
342,"But today, it's like
","['today', 'like']",2,1,0,0.5
343,"there's rock bottom...
","['rock', 'bottom']",2,0,0,0.0
344,"...50 feet of crap...
","['foot', 'crap']",2,0,1,-0.5
345,"...then me.
",[],0,0,0,
346,"Tell Ross how you feel.
","['tell', 'ross', 'feel']",3,0,0,0.0
347,"Come on, how can I just tell him?
","['come', 'tell']",2,0,0,0.0
348,"What about Julie?
",['julie'],1,0,0,0.0
349,"What about her? They've only
",[],0,0,0,
350,"been going out for two weeks.
","['going', 'two', 'week']",3,0,0,0.0
351,"Ross has been in love
","['ross', 'love']",2,1,0,0.5
352,"with you for 10 years.
",['year'],1,0,0,0.0
353,"I don't know. I don't know.
","['know', 'know']",2,0,0,0.0
354,"I've been with my share of women.
","['share', 'woman']",2,0,0,0.0
355,"I've been with a lot
",['lot'],1,0,0,0.0
356,"of people's share of women.
","['people', 'share', 'woman']",3,0,0,0.0
357,"But the point is...
",['point'],1,0,0,0.0
358,"...I've never felt about anyone
","['never', 'felt', 'anyone']",3,0,0,0.0
359,"the way Ross felt about you.
","['way', 'ross', 'felt']",3,0,0,0.0
360,"Really?
",['really'],1,0,0,0.0
361,"Yo, paisan!
","['yo', 'paisan']",2,0,0,0.0
362,"Can I talk to you for a sec?
","['talk', 'sec']",2,0,0,0.0
363,"Your tailor...
",['tailor'],1,0,0,0.0
364,"...is a very bad man!
","['bad', 'man']",2,0,1,-0.5
365,"What are you talking about?
",['talking'],1,0,0,0.0
366,"Hey, what's going on?
","['hey', 'going']",2,0,0,0.0
367,"Joey's tailor...
","['joey', 'tailor']",2,0,0,0.0
368,"...took advantage of me.
","['took', 'advantage']",2,1,0,0.5
369,"No way! I've been going
","['way', 'going']",2,0,0,0.0
370,"to the guy for 12 years.
","['guy', 'year']",2,0,0,0.0
371,"He said he was gonna do my inseam.
","['said', 'gon', 'na', 'inseam']",4,0,0,0.0
372,"Then he ran his hand up my leg
","['ran', 'hand', 'leg']",3,0,0,0.0
373,"and then there was definite
",['definite'],1,0,0,0.0
374,"What?
",[],0,0,0,
375,"Cupping.
",['cupping'],1,0,0,0.0
376,"That's how they do pants!
",['pant'],1,0,0,0.0
377,"First they go up one side,
","['first', 'go', 'one', 'side']",4,0,0,0.0
378,"they move it over.
",['move'],1,0,0,0.0
379,"Then they go up the other side,
","['go', 'side']",2,0,0,0.0
380,"move it back, then they do the rear.
","['move', 'back', 'rear']",3,0,0,0.0
381,"Ross, tell him. Isn't that
","['ross', 'tell']",2,0,0,0.0
382,"how a tailor measures pants?
","['tailor', 'measure', 'pant']",3,0,0,0.0
383,"Yes, yes, it is.
","['yes', 'yes']",2,0,0,0.0
384,"In prison!
",['prison'],1,0,1,-1.0
385,"What's the matter with you?
",['matter'],1,0,0,0.0
386,"What?
",[],0,0,0,
387,"That's not?
",[],0,0,0,
388,"Oh, my God!
","['oh', 'god']",2,0,0,0.0
389,"Even Mary Tyler Moore
","['even', 'mary', 'tyler', 'moore']",4,0,0,0.0
390,"would've been better.
","['would', 'better']",2,1,0,0.5
391,"I like it.
",['like'],1,1,0,1.0
392,"I do. I think it's a 10!
",['think'],1,0,0,0.0
393,"Thank you.
",['thank'],1,1,0,1.0
394,"My hair is very amused.
","['hair', 'amused']",2,0,0,0.0
395,"Come on, things could be worse.
","['come', 'thing', 'could', 'worse']",4,0,1,-0.25
396,"You could ""get caught between
","['could', 'get', 'caught']",3,0,0,0.0
397,"the moon and New York City.
","['moon', 'new', 'york', 'city']",4,0,0,0.0
398,"I know it's crazy, but it's true.""
","['know', 'crazy', 'true']",3,0,1,-0.33
399,"Thank you.
",['thank'],1,1,0,1.0
400,"Well, I gotta go. Bye.
","['well', 'got', 'ta', 'go', 'bye']",5,1,0,0.2
401,"Bye, Rach!
","['bye', 'rach']",2,0,0,0.0
402,"Wait, are you leaving?
","['wait', 'leaving']",2,0,0,0.0
403,"That's what I meant by ""bye.""
","['meant', 'bye']",2,0,0,0.0
404,"Can I talk to you for a sec?
","['talk', 'sec']",2,0,0,0.0
405,"When the doctor does
",['doctor'],1,0,0,0.0
406,"that hernia test...
","['hernia', 'test']",2,0,0,0.0
407,"That's okay.
",['okay'],1,0,0,0.0
408,"What's going on?
",['going'],1,0,0,0.0
409,"Well, okay, first of all...
","['well', 'okay', 'first']",3,1,0,0.33
410,"...Paolo and I are not back together.
","['paolo', 'back', 'together']",3,0,0,0.0
411,"That was a stupid thing I did.
","['stupid', 'thing']",2,0,1,-0.5
412,"If I could go back in time
","['could', 'go', 'back', 'time']",4,0,0,0.0
413,"and do it again...
",[],0,0,0,
414,"...well, I wouldn't.
",['well'],1,1,0,1.0
415,"Second of all...
",['second'],1,0,0,0.0
416,"What?
",[],0,0,0,
417,"Is this one of those things
","['one', 'thing']",2,0,0,0.0
418,"where you break up with a guy...
","['break', 'guy']",2,0,1,-0.5
419,"...I tell you what I think...
","['tell', 'think']",2,0,0,0.0
420,"...and the next day
","['next', 'day']",2,0,0,0.0
421,"you get back together with him...
","['get', 'back', 'together']",3,0,0,0.0
422,"...and I look like
","['look', 'like']",2,1,0,0.5
423,"a complete idiot?
","['complete', 'idiot']",2,0,1,-0.5
424,"Well, then, I think the guy's scum.
","['well', 'think', 'guy', 'scum']",4,1,1,0.0
